English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi),translation,bleu,chrf,ter
AIMIM chief Asaduddin Owaisi told PTI that preliminary talks held between both parties have yielded positive results.,एआईएमआईएम प्रमख असदुद्दीन औवेसी ने बताया कि दोनों पार्टियों के बीच आरंभिक बातचीत में सकारात्मक परिणाम आए हैं.,17,18,1,अमीर मुस्लिम चीफ असदुद्दीन ओवाईसी पीटीआई के बीच पहले से हुए चर्चाों ने दोनों पक्षों पर सकारात्मक परिणाम उत्पन्न कर लिए हैं।,5.618923497,36.2695947,100
"Jehovah sent Haggai, 63 days after he had conveyed his second message, with a third proclamation that we can well take to heart today.","अपना दूसरा संदेश भेजने के ६३ दिन बाद, यहोवा ने हाग्गै को तीसरी उद्‌घोषणा के साथ भेजा जिसे आज हम भली - भाँति याद रख सकते हैं ।",24,28,4,"जहूएवा ने हाग्जाई को संदेश दिया, जिसकी पांच महीनों बाद उसने अपनी दूसरी मान्यता भेजी, और तीसरे आदेश को हमें आज लेने योग्य है।",2.01450713,25.93763832,100
"After that, click on the result link.",फिर रिजल्ट लिंक पर क्लिक करें।,7,6,1,अंततः क्लिक करें परिणाम लिंक पर।,9.652434877,45.44199711,100
"""The Directorate of State Council for Education Research and Training",शिक्षा अनुसंधान और प्रशिक्षण परिषद राज्य निदेशालय,10,7,3,"""राज्य सरकार के शिक्षा अनुसंधान और प्रशिक्षण पर दायरी""",24.808415,67.38121919,85.71428571
"After England stunned India in the first Test by 227 runs, the hosts made a grand comeback to win the second Test by a massive margin of 317 runs.","इंग्लैंड ने भारत को पहले मुकाबले में 227 रनों से मात दी थी, इसके बाद भारत ने इंग्लिश टीम को दूसरे टेस्ट मैच में 317 रनों से हराया था।",29,29,0,"अंतिम टेस्ट में इंग्लैंड ने भारत को पहला टेस्ट में 227 रनों से दूर खेलने पर सफलतापूर्वक जीत हासिल कर लिया। इस बार प्रत्येक गांधी और विशेष रूप से, अंतर्राष्ट्रीय",16.61865517,37.02395436,79.31034483
"""In electricity (electromagnetism), the electric susceptibility ( e . Latin: susceptibilis """"receptive"""") is a dimensionless proportionality constant that indicates the degree of polarization of a dielectric material in response to an applied electric field.""","विद्युतचुम्बकत्व के सन्दर्भ में, किसी परवैद्युत पदार्थ की वैद्युत प्रवृत्ति (electric susceptibility / संकेत χ e ) एक विमारहित राशि है जो यह दर्शाती है कि किसी वाह्य वैद्युत क्षेत्र में रखने पर वह पदार्थ कितना अधिक ध्रुवित होगा।",34,39,5,"अतिक्रमण की प्रक्रिया में एक संरक्षक (""Receptivity "") है, जो इलेक्ट्रोमैग्नेटिस्म में द्रव्यमानीय परिवर्तनशीलता के रूप में लेबल किया गया है। यह धातु यांत्रिक ऊर्जा,",1.566937253,16.33678217,92.30769231
Every person has value and importance.,हर भारतीय का मूल्य और महत्त्व है।,6,7,1,अपने जीवन में कोई भी व्यक्ति अपने स्वार्थ और महत्वपूर्णता पर आधारित होता है।,3.377156414,24.59530415,171.4285714
"Starting June 22, Deutsche Welle will offer four additional 24-hour TV channels for various parts of the world.",साथ ही डॉयचे वेले 22 जून के बाद भी चारों भाषाओं में प्रसारण जारी रखेगा.,18,15,3,सितंबर के शुरू में डचवेल सात दिनों तक चार और अधिक विशिष्ट टीवी चैनल प्रदान करेगा।,2.908317711,15.99648457,106.6666667
Our government works for the poor.,हमारी सरकार गरीबों के लिए काम कर रही है।,6,9,3,अपने सरकार को पीड़ित लोगों में से एक ही समय पर देना आवश्यक नहीं है।,3.125190764,20.63749131,144.4444444
"""He described PM Narendra Modi as a """"great leader"""".""",पीएम मोदी ने उन्‍हें बेहतरीन इंसान करार दिया।,9,8,1,"""वे नेता नरेंद्र मोदी को 'महान नेतृत्व' कहा।""",4.196114906,15.52018184,100
"Total positive cases: 47,253. Active cases: 27,853. Deaths: 928","कुल पॉजिटिव मामले 47,253 और सक्रिय मामले 27,853 और 928 मौतें हुईं।",9,12,3,"संपूर्ण सकार्थी संख्या: 4,7253",0,7.120244091,100
Congress goes for BJP jugular,खाद्य विधेयक को लेकर भाजपा भी बरसी कांग्रेस पर,5,9,4,कांग्रेस को भाजपा गठियारिक में घेरते हैं,6.495032985,27.56515094,77.77777778
"""The ad will release next month.",विज्ञापन अगले माह तक जारी करने की तैयारी है।,6,9,3,"""अधिकारी के लिए, 2023 में अध्ययोग संग्रह प्रस्तुत होना शुरू कर दिया गया था।""",0,14.21257469,155.5555556
"we 've taken millions of breaths, collectively,","हमने सम्मिलित होकर लाखों श्वास लीं हैं,",7,7,0,हमें मिलकर बहुत से ही पानी को खत्म कर दिया गया,0,13.99636618,157.1428571
"""They are sodium-free, cholesterol-free, fat-free and contain 190 mg of potassium.","नाशपती सोडियम फ्री, कोलेस्ट्रॉल फ्री, और फैट फ्री होता है और इसमें 190 मिलीग्राम पोटेशियम होता है जो कि पाचन को मजबूत करता है.",11,24,13,"""वे सोडियम - खनिज निर्धारित नहीं हैं, कोलेस्ट्रॉल - खनिज मुक्त नहीं हैं और पोटेशियम की मात्रा लगभग 190 एमजी।""",3.642385337,27.4635145,91.66666667
"""""""consolidated financial statement"""" means the financial statement of an international group in which the assets, liabilities, income, expenses and cash flows of the parent entity and the constituent entities are presented as those of a single economic entity.""","""(च) """"समेकित वित्तीय विवरण"""" से ऐसे अंतरराष्ट्रीय समूह का वित्तीय विवरण अभिप्रेत है जिसमें मूल अस्तित्व और घटक अस्तित्व की आस्तियां, दायित्व, आय, खर्चे और नकद प्रवाह एकल आर्थिक अस्तित्व के रूप में प्रस्तुत किए जाते हैं.""",38,37,1,"""वैश्विक समूह के सामान्य वित्तीय रिपोर्ट में प्रतिभूतियों सहित परिवहन और आयात जैसी वस्तुओं का वर्णन करने के लिए 'संयुक्त बाजार' शब्द को दर्शाया गया है। यह एक ऐसे",1.10831719,19.08398344,91.89189189
"For this, the public health system must be greatly expanded and strengthened across the Nation.","इसके लिए, सार्वजनिक स्वास्थ्य प्रणाली को देशभर में काफी व्यापक व सुदृढ़ करना होगा।",15,14,1,भारत में स्वास्थ्य प्रणाली को बहुत बड़ा और मजबूत बनाने पर लोगों तक पहुंच बढ़ जाएगी।,9.782375749,31.83862997,100
"""""""Peace be upon you. You merit this reward for your steadfastness."""" How excellent is the ultimate abode!""","""(वे कहेंगे) """"तुमपर सलाम है उसके बदले में जो तुमने धैर्य से काम लिया।"""" अतः क्या ही अच्छा परिणाम है आख़िरत के घर का!""",17,24,7,"""सौभाग्य से आपको शांति मिली। आप किसी भी प्रकार का समर्पण और निरंतरता के लिए इस सम्मान पर चढ़े।""",1.533593938,12.80905919,100
Match was very exciting till the end.,मैच अंतिम ओवर तक काफी रोमांचकारी रहा।,7,7,0,मैच बहुत रोमांचक था जब तक कि अंत नहीं हुआ।,4.990049702,27.69550272,114.2857143
"Lots of patches, fixes, updates","बहुत से पैचेस, फ़िक्सेस, अपडेट्स",5,5,0,"लाखों पैच्स, संशोधन और अद्यतन।",6.870636428,9.195959279,100
Recovery of Dues by DC,डीसी द्वारा बकाये की वसूली,5,5,0,दीर्घकालीन दंडों की वापसी,12.44023475,16.95887446,80
"He visited the Zydus Biotech Park in Ahmedabad, Bharat Biotech in Hyderabad and Serum Institute of India in Pune.","पीएम अहमदाबाद स्थित जायडस बॉयोटेक पार्क, पुणे स्थित सीरम इंस्टीट्यूट और हैदराबाद स्थित भारत बॉयोटेक गए.",19,16,3,"अहमदाबाद में ज्यूडस बायोटेक पार्क के लिए वह एक दिन यात्रा करता है, भारत बायोटेक में हरिद्वान बायोटेक में सीरम इंस्टीटूट ऑफ इंडिया में।",2.252278369,36.82771722,143.75
"Meanwhile, the security agencies are monitoring Telegram channels of IS.","इस बीच, सुरक्षा एजेंसियां ​​आईएस के टेलीग्राम चैनलों की निगरानी कर रही हैं।",10,13,3,मध्य प्रदेश में सुरक्षा एजेंसियां आईएस के टेलीग्राम चैनलों पर निगरानी कर रहीं हैं।,16.06455375,69.72026196,46.15384615
"Built on the Indian government-supported Unified Payments Interface (UPI), Tez allows users, free of charge, to make small or big payments straight from their bank accounts.",भारत सरकार के एकीकृत भुगतान इंटरफेस (यूपीआई) को सपोर्ट करने वाले ‘तेज’ एप से ग्राहक सीधे अपने बैंक खातों से मुफ्त में छोटे या बड़े भुगतान कर सकते हैं.,26,29,3,"तेज़ के लिए उपयोगकर्ताओं को बिना शुल्क में अपनी खातों से छोटे-बड़े निवेश योजनाएँ बनाने, पैसे जमा करना, और वित्तीय परिस्थितियाँ बदलने के लिए तैयार होने के ल",2.920833337,19.32083318,93.10344828
People are getting out of their houses only when it is extremely necessary.,"लोग घरों में से बाहर नहीं निकल रहे हैं, जब तक कि बेहद जरूरी न हो।",13,16,3,"लोगों को अपने घर से बाहर निकालना पूरी तरह से आवश्यक नहीं है। जब भी यह बहुत जरूरतपूर्ण हो, तो लोग व्यापार और राजनीति में शामिल होते हैं।",3.519887053,28.32708594,156.25
