English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
"Pakistans jailed former prime minister Nawaz Sharif, his daughter Maryam and son-in-law Capt (retd) Muhammad Safdar reached Lahore to attend the funeral of Begum Kulsoom Nawaz","????????? ?? ????? ???????????? ????? ?????, ???? ???? ???? ????? ?? ????? ??????? ????? ?????????? ??? ?? ???? ?? ?? ????? ????? ???",26,23,3
Five years left. many resolutions are to be accomplished. a lot of efforts are to be made. a lot of hard work still to be done,"???? ??? ???? ??, ???? ?? ??????? ???? ??, ???? ?? ?????? ???? ??, ???? ??????? ???? ??",26,18,8
I love myself the way I am.,??? ???? ??? ???? ???? ?? ?? ???? ?? ?????? ??.,7,11,4
Tope said the number of coronavirus positive patients in the state has increased to 64 with 12 new cases.,"??? ??? ?????? ??????? ?????? 9304 ??, ???? ?????? ??? 174 ?? ????? ?? ????",19,15,4
Mithali is also the first Indian woman to reach the landmark of 2000 T20 runs.,?????? ???????-??????? ??????? ??? ?? ???? ?? ????? ???? ???? ?????? ????? ???????? ????,15,14,1
"""As part of the agenda for the ADMM-Plus meeting, Singh will also release a """"Handbook on Military Medicine for ASEAN (Association of Southeast Asian Nations)"""" along with Myanmar Defence Minister Lieutenant General Sein Win.""",‘??????? ????' ???? ?? ?????? ?? ??? ???? ???????? ?? ????? ?????? ?????????? ???? ??? ??? ?? ??? ????? ‘??????? ?? ???????? ??????? ??? ?????? (??????????? ?????? ????? ?? ???)' ?? ???? ??????.,34,33,1
But I am trying my best.,????? ??? ?? ??? ???? ???? ????? ???? ???.,6,9,3
"India is the worlds second-biggest producer of rice and wheat, the top grower of cotton and the biggest importer of palm oils.",???? ?????? ??? ???? ???? ?? ????? ???? ???? ???????? ?? ?? ?? ???? ?? ???? ?? ????? ??? ?? ??? ?????? ????? ????? ???,22,25,3
"Patel was on deputation from the IMF to RBI during 1996-1997, and in that capacity he provided advice on development of the debt market, banking reforms, pension reforms, and evolution of the foreign exchange market.","???? 1996-1997 ?? ????? ?????? ?? ????????????? ?? ???? ?? ?? ?? ?? ????? ?? ?????, ??????? ?????, ????? ????? ?? ?????? ?????? ????? ?? ????? ?? ??? ??????? ?? ????? ???? ???",35,33,2
"Madhya Pradesh, Gujarat and Kerela are other states that have performed well in all these indicators and well above the all India average.","????? ??????, ?????? ?? ???? ????? ?????? ?? ????????? ?? ?????? ?? ?????? ???????? ?????",23,15,8
composite culture,??????? ????????,,,0
Dot - character printer,????? ???????? ???????,,,0
"""The Congress has decided to retain a majority of the sitting MPs and rejected Rajya Sabha members T. Subbirami Reddy and V. Hanumantha Rao's demand for Lok Sabha tickets",?????????? ?????? ?? ??. ?????? ??? ?? ?????? ?? ???? ??? ???? ?? ???? ?? ????? ?? ???? ???,29,19,10
"That is the bounty of Allah, which He gives to whom He wills, and Allah is the possessor of great bounty.",????? ?? ???? ?? ????? ????? ?? ??? ?????? ?? ?? ????? ?? ???? ???? (? ???) ?? ????? ??,21,20,1
"Apart from Prabhas and Shraddha, Saaho also stars Neil Nitin Mukesh, Chunky Panday, Jackie Shroff and Mandira Bedi in pivotal roles.",Saaho Song Psycho Saiyaan Out ???? ??? Prabhas ?? Shraddha Kapoor ?? ????? ??? ????? ????? ???? ????? ?????? ???? ???? ???????? ?? ????? ????? ?? ??? ?????? ???l,21,29,8
"""They said, """"There must be an inheritance for those who are escaped of Benjamin, that a tribe not be blotted out from Israel.""","??? ?????? ?? ???, ??? ??? ????????????? ?? ???? ??? ??? ??????, ??? ? ?? ?? ??????? ??? ?? ?? ?????? ??? ????",23,23,0
We believe in partnerships.,?? ??????????? ??? ??????? ???? ????,,6,6
"During this period, southwesterly winds from the Arabian Sea and easterly winds from the Bay of Bengal will reach Haryana, Delhi-NCR, west Uttar Pradesh and northeast Rajasthan.",?? ????? ??????? ?? ?????? ???? ?? ??? ???? ??? ???????? ???? ??? ??????? ?? ?????????,27,16,11
"""The film also starred Mrunal Thakur and Pankaj Tripathi in important roles.","????? ??? ????? ?????, ???? ???????? ???? ???? ??? ?????? ????? ??? ??? ???",12,14,2
"""The police registered the case against the truck drivers and started the investigation.",????? ?? ????? ???? ???? ?? ????? ????? ???? ???? ???? ??????? ?? ???,13,14,1
"Elsewhere in his writings, Paul linked conduct that has Gods approval with our eager acquisition of knowledge.","???? ????, ???? ???? ???????? ?? ???? ????? ?? ???? ??? ??? ????? ???? ????? ?",17,16,1
"FLYING an airplane on a dark, foggy night, how can the pilot see where he is going?","?? ??????, ???? ??? ??? ??? ???? ????? ?????? ???, ???? ??? ??? ??? ???? ?? ?? ?? ???? ?? ??? ???",17,22,5
It sparked worldwide reactions.,?????? ?? ??? ???? ??????????? ???.,,6,6
"Earlier, he was banned by the Board of Control for Cricket in India (BCCI).",?????? ??????? ??????? ????? (????????) ?? ???? ????? ?? ??? ??? ?? ??.,14,13,1
"USA was the largest import market for frozen shrimp (1, 65,827 MT), followed by the EU (77,178 MT), South East Asia (1, 05,763 MT), Japan (31,284 MT), Middle East (19,554 MT), China (7818 MT) and other countries (27,063 MT).","?????? 1,65,827 ??????? ?? ?? ??? ?????? ????? ?? ??? ???? ???? ???? ????? ???? ???? ??? ??????? ??? (77,178 ??????? ??), ?????? ????? ????? (1, 05,763 ??????? ??), ????? (31,284 ??????? ??), ???? ????? (19,554 ??????? ??), ??? (7818 ??????? ??) ?? ???? ????? ??? (27,063 ??????? ??) ????",39,50,11
I look forward to working closely together once again to take India-US relations to greater heights.,"""""""???????? ???, """"""""??? ????-??????? ??????? ?? ???? ?? ???? ???????? ?? ?? ???? ?? ??? ?? ??? ????? ??? ???? ?? ??? ???? ????""""""",16,24,8
"""The construction work of the project is expected to be completed in the next six months, he added.",???? 6 ????? ??? ?? ??? ?? ???? ???? ?? ???? ???? ?? ??? ???,18,15,3
Should I sell this fund or hold on to it?,???? ???? ?? ??? ?? ??? ???? ????? ?? ????? ????? ???? ???? ??????,10,14,4
"Consequently, does it not make more sense to cultivate love for God and for people than it does to pursue the things of the world, which are at best only temporary?",??? ?????? ?? ????? ??? ?? ?????? ??? ?????? ???? ?? ??? ?? ?,31,14,17
And assuredly there met them early in the morning a torment settled.,?? ???? ????? ?? ?? ?? ???? ? ??? ?? ???? ??? ?? ?? ???? ???? ??,12,17,5
"So, this was where we left with.","??, ????? ??? ?? ???? .",7,6,1
Transaction which are related to property.,??? ???-??? (?????) ?? ???????? ?? ??????? ???? ????,6,9,3
Its the responsibility of all the parties support us.,??? ????????? ?? ??????????? ?? ?? ?? ????? ?????? ?????,9,10,1
"Bodies of the four Naxals were recovered from the spot along with an AK47 rifle, an SLR rifle and two 315 bore rifles, he said.","???? ??? ?? ?? ??? 47 ???????, ?? 315 ??? ?? ?????, ?????? ??????? ??? ??? ?????? ??? ????????? ????? ???? ??? ??.",25,23,2
"""The embarkation of Indian nationals was facilitated by the Indian Mission in Maldives",?????? ???????? ?? ???????? ?????? ??? ?????? ??????? ?? ?????? ?? ???? ?? ???,13,14,1
"However, there was no information about her after that.","???????, ?? ???? ??? ??? ??? ??? ??????? ??? ????? ???? ???",9,12,3
"""The team finished at the third place in the tournament.",??? ?????????? ??? ????? ?????? ?? ??? ???,10,8,2
World Cup 2019: Orange is the new Blue for Team India,"World Cup 2019 : ???????? ?? ????? ????? ????? ?????? ??? ??????, ????? ???? ?? ???",11,16,5
"After that, rinse off with water.",???? ??? ???? ?? ??? ?? ????,6,7,1
She did not understand how this could come about.,???? ??? ?? ???? ???? ??? ???? ?? ???? ??.,9,10,1
"""The AAP could not receive electoral gain out of it because I exposed this, so out of frustration Kejriwal is saying that his PSO reports to the BJP.""""""","???? ?? ??? ?????? ????? ???? ????? ?? ??? ??????? ????? ???? ?????? ?? ????, ????? ???? ???????? ?? ?? ??? ??? ?? ???? ????? ????? ?? ??????? ???? ???",28,30,2
I think Australian and New Zealand conditions are quite similar.,"""""""???? ???? ?? ?? ??????????? ?? ?????????? ?? ????????? ???? ?? ???? ????""",10,13,3
"Karisma Kapoor and Abhishek Bachchan: On Amitabh Bachchan's birthday in 2002, Karisma and Abhishek got engaged","????? ????? ??? ????? ?? ??? ???? ?? ???? ?? ?????, ????? ???? ?? ??? ?? ??? ???",16,18,2
He was equally immersed in theatre and television.,?? ????? ?? ???????? ??? ?? ???? ?? ???? ???,8,10,2
"Since she was not one of Jehovahs Witnesses, she had no interest in keeping the books.","????? ?? ?? ????? ?? ?????? ? ??, ????? ??????? ???? ??? ??? ??? ???????? ???? ?? ?",16,18,2
"""The minister said violence should never take place in the national capital and whichever political party is behind this should refrain from it.",?????? ?? ??? ?? ????????? ??????? ??? ??? ????? ???? ???? ????? ?? ???? ???? ?? ?? ???????? ?? ?? ??? ??? ???? ?? ???? ??????,23,26,3
"""Then add almonds in it.",??? ????? ???? ??????,,,0
"""The Prime Minister said due to public awareness and mass movements, many changes have taken place in the country in the past few years and many campaigns and schemes have become successful",???????????? ?? ??? ?? ?? ???????? ?? ?? ???????? ?? ???? ????? ??? ?????? ?? ????? ??? ??? ?? ????? ??? ??? ?? ???? ?????? ? ??????? ?? ??? ??? ???,32,31,1
This Budget is a reflection of the development measures undertaken by the Government over the past two and a half years and the vision to carry forward the momentum in this direction. The merger of the Railway budget with the Union Budget is a major step.,???? ??? ?? ??? ??? ?? ?????? ????????? 2016-17 ??? ??? ??? ?? ?? ?????? ????? ?????? ??????? ?? ????????? ??? ???? ?? ????? ?? ?????? ????? ?????? ?????? ????-??????? ?????? ????? ???? ?? ???????? ????? ??? ???? ?? (??????) ?? ???? ???? ?? ????? ??????? ???? ?? ?? ???? ????? ?? ????????????,,,0
EAC-PM has welcomed these comprehensive measures,????-???? ?? ?? ?????? ????? ?? ?????? ???? ??,6,9,3
US sanctions 7 Pakistani firms for 'nuclear trade',?????? ???????: US ?? ??? ?? 7 ???????? ?? ????? ???,8,11,3
"In word and deed, such elders show their wives heartfelt appreciation.","?? ???? ??? ????? ??? ????? ??? ?? ??? ?? ????? - ????? ??: ‘ ??? ?? ????? ????? ?? ??, ???? ????? ???? ??? ??? ? ’",11,28,17
Director: Inder Kumar,????????: ???? ?????,,,0
"""The 13 January 2015 signing of the MoU between the United States Agency for International Development (USAID) and the Ministry of Urban Development to enable USAID to share expertise, best practices, innovation and technologies in support of India's efforts to strengthen water, sanitation and hygiene (WASH) in urban areas.","o ???? ????????? ??? ??, ???????? ?? ???-???? ?? ????? ????? ?? ???? ?? ???????? ??? ??????????, ??????? ??????????, ?????? ?? ???????????? ?? ??? ?????? ?????????????? ????? ?????? ?? ???? ????? ???????? ?? ??? 13 ?????, 2015 ?? ????? ???? ?? ??????????",49,42,7
"A vacation bench of justices Arun Mishra and Sanjay Kishan Kaul also agreed to hear the plea of Rajeshwar Singh, officer in the Enforcement Directorate seeking contempt proceedings as attempts have been made to thwart the ongoing investigation in the Aircel-Maxis case.",??????????? ???? ????? ?????? ?? ??????????? ???? ???? ??? ?? ?????????? ??? ???? ??? ?? ???????? ???????? ?? ???????? ?????? ??????? ???????? ???? ?? ?????? ?? ?? ?????? ?????? ???? ?? ???? ???? ?? ?? ?? ??????-??????? ????? ??? ?? ?? ??? ???? ?? ???? ?? ?????? ??? ????? ????? ?? ?? ?????? ???,,,0
"When we talk of Sufi saints in India, Khwaja Moinuddin Chishti appears as a symbol of great spiritual traditions.",?? ?? ???? ??? ???? ????? ?? ??? ???? ??? ?? ?????? ?????????? ?????? ???? ?????????? ???????? ?? ?????? ?? ??? ??? ????? ????? ????,19,25,6
"Moreover, he gains satisfaction from what he acquires, and he has peace of mind and a clean conscience toward God.",?????? ?? ??? ?? ????? ?? ??? ?? ????? ?? ?,20,11,9
Use them at your own risk.,???? ????? ?? ???? ??????????? ?? ?????.,6,7,1
"""""""We have faith in the judiciary, but since the temple has not been built, a law should be passed in this regard so that it can be constructed without the mosque adjacent to it,"""" he said.""","???????? ?? ???, ‘‘???? ??????????? ?? ????? ??, ????? ????? ????? ???? ????? ??? ??, ????? ?? ???? ?? ????? ????? ???? ????? ???? ???? ??????? ?? ??? ?? ???? ??? ??? ?????? ???? ???",36,35,1
I 'm going to meet him tomorrow.,??? ?? ???? ????? ?? ??? ????,7,7,0
"Thus, in obedience to Jesus instructions, true Christians today continue to speak to their neighbors about Gods Kingdom the only government capable of bringing an end to Satans wicked system and ushering in a righteous new world.","?? ?? ?? ??????? ????? ???, ?? ????? ????? ??? ??? ?? ??? ????? ??? ??? ????? ??? ????? ???????? ?? ?? ?? ????? ?? ????? ?? ?",37,28,9
"""The four floor parking would have a capacity for parking over 200 vehicles.",?? ??? ?????? ???????? ??? 200 ?????? ?? ?? ?????? ?? ?????? ?????,13,13,0
"""The total investment for the ITIR will be about Rs.2.19 lakh crore of which the IT/ITES (Information Technology / Information Technology Enabled Services) Sector is to attract investments of Rs.1.18 lakh crore and the Electronic Hardware Manufacturing (EHM) sector of Rs.1.01 lakh crore.",???????? ?? 2.19 ??? ????? ??? ?????? ?????,43,8,35
"""""""Hence, the BJP's plan is to stay with the Sena in power and try to weaken it by using power and money.""","???????? ???, ?? ??? ????? ?? ????? ??????? ?? ??? ????? ??? ???? ?? ??-?? ?? ???????? ?? ??? ????? ???? ?? ???",22,23,1
"In fact, gold has been the best asset class that has generated superior returns in the last few years.","?????? ???, ???? ???? ????? ??????? ???? ??? ?? ????? ????? ??? ?????? ??? ????? ?????? ??????? ???? ???",19,19,0
Prime Minister Narendra Modi will meet all the 13 chief ministers of the Bharatiya Janata Party (BJP)-ruled states and five deputy chief ministers,"???????? ??? ?? ???? ??? ???????? ??????, ????? ????? 13 ??????? ?? ??????????? ?? ??? ?? ??????????? ????? ??????",23,19,4
Union Minister for Road Transport and Water Resources Nitin Gadkari today said that three dams would be constructed to divert the waters of Indian rivers flowing to Pakistan.,???????? ?????? ??? ?? ?????? ?????? ????? ????? ?? ?? ???? ?? ???? ????? ????? ?? ????????? ??? ??? ??? ????? ??? ?? ??? ???? ??????? ?? ???? ???????,28,29,1
"""The last three days have truly been crucial in visualising the journey for a new and energetic India.",????? ??? ??? ?? ?? ???????? ???? ?? ?????? ?? ???? ??? ?????????? ??? ????,18,15,3
IAF pilot dies after Jaguar fighter jet crashes in Gujarats Kutch,"?????? ?? ???? ??? ????? ????? ?????, ????? ?? ???",11,10,1
You will be able to notice the difference instantly.,???? ???? ???? ???? ??? ??? ??????,9,7,2
"""The hospital lacks surgeon.",??????? ??? ????? ?? ??? ???,,6,6
For us that is paramount.,????? ??? ?? ???????? ??.,5,5,0
Dont go away!,???? ??? ?? ????!,,,0
Two youths killed in accidents,???????? ??? ?? ?????? ?? ???,5,6,1
Concerns and solutions,???????? ?? ??????,,,0
"Perhaps they could not find any profit in commemorating the martyrs, so they thought it was easy to forget them.","???? ?????? ?? ??? ???? ?????? ??? ??? ???? ???? ??, ????? ?????? ?????? ?? ?????? ???? ????",20,18,2
"Japan-India cooperation continued to expand broadly in many fields such as security, investment, information technology, agriculture, health, environment and tourism, Abe noted.","??? ?? ??? ?? ????? ?? ???? ?? ????? ???????, ?????, ????? ????????????, ????, ?????????, ???????? ?? ?????? ???? ?? ????????? ??? ?????? ??? ??? ???",22,26,4
"Jesus mother, Mary, faced such a challenge. She was brought up according to Jewish tradition.","""?? ???? ?? ???????? ?? ????? ?? ???? ???? ?? ?? ???????? ?? ???? ???? ?? ?",15,17,2
"Shops, offices and business establishments have been closed.","????????, ????? ?? ????? ?? ??? ?? ???? ??? ???",8,10,2
300 crores and the executions of projects worth Rs.,11 ??? ??? ?? ?? ?? ???? ???? ?? ?? ????? ?? ?? ??????????,9,14,5
I have never seen.,??? ????? ???? ???? ??? ???? ?????,,7,7
"Rbia died in her 80s in Basra in 185 AH/801 CE, where her tomb was shown outside the city.","?????? ?? ?????? 801 ?? ??? ??? ???? ??? 185 ????? / 801 ? ??? ??? ??, ???? ???? ???? ?? ??? ?? ???? ?????? ??? ???",19,27,8
I dont know what is happening in this country!,"???? ?? ???,’??? ???? ????? ?? ?? ??? ??? ???? ?? ??? ???",9,13,4
That statement by an official of the U.S. National Sleep Foundation shows the danger of driving when you are sleepy.,"?? ??????? ?? ??? ?? ??? ???? ?? ?? ?? ???? ???? ? ??? ??, ?? ????? ????? ???? ?? ???? ???? ?",20,23,3
( c) New Zealand:,( ?) ???????????:,,,0
"Under this dashboard, 11 services of the state government and seven of the Centre were being provided, he added.",???????? ?? ?????? ????? ?? 11 ?????? ?? ?????? ?? 7 ?????? ?????? ????? ?? ??? ????,19,17,2
"""There are special concession for small enterpreneur",??? ?????? ?? ??? ????? ???????? ????,7,7,0
This will motivate him to turn away from bad. Proverbs 16: 6.,??? ?? ????? ?? ‘ ????? ???? ?? ??? ???? ’ ?? ??????? ?????? ? — ??????? 16: 6.,12,19,7
Ex-Assam CM and Congress leader Tarun Gogoi has alleged that PM Modi was following the footsteps of Jinnah and trying to fulfill 'his original agenda of making India a Hindu Rashtra'.,?????? ???????? ???? ?? ??? ?? ????? ??????????? ???? ????? ?? ??? ?? ???? ??????? ???? ?? ??????? ??? ?????? ?? '?? ???? ?????' ?? ???? ?? ??? ????,31,29,2
"Heavy rains lash Himachal, all rivers in spate","?????? ??? ???? ?????, ?????? ???? ??",8,7,1
"Hasten to forgiveness from your Lord and to a garden the extensiveness of which is as the extensiveness of the heaven and the earth. it is prepared for those who believe in Allah and His apostles. that is the grace of Allah: He gives it to whom He pleases, and Allah is the Lord of mighty grace.","???? ?? ?? ????? ?? ?? ????? ?? ?? ?????? ???? ??? ??-????? ?? ????? ?? ???, ????? ??????? ???? ?? ???? ?? ??????? ???? ??, ?? ?? ????? ?? ??? ????? ?? ?? ?? ?? ?????? ?? ???? ?????? ?? ???? ??? ???? ?? ?????? ?? ???? ??????? ??, ???? ????? ?? ?????? ???? ??? ?????? ???? ???? ??????? ?? ????? ??",,,0
Muraleedharan said the Civil Aviation Ministry was also looking at other options to address the issue of the spike in ticket prices during festival seasons such as Onam.,???????? ?? ??? ?? ?????? ?????? ???????? ?? ??? ???? ?????? ?? ???? ?? ????? ??? ???? ???? ??????? ?? ?????? ?? ??? ???? ????????,28,25,3
"New Tehri, May 15","???? ?????, 15 ??",,,0
Mostly the responsibility to get this work done has been given to district vice president and general secretary,?? ??? ?? ???? ?? ???????? ??????????? ???? ????????? ?? ??????? ?? ?? ?? ???,18,15,3
"""The Biobo River (also known as Bo Bo or Bio-Bio) is the second largest river in Chile.",?????? ??? (??????: Río Bíobío) ???? ?? ????? ???? ????? ??? ???,17,12,5
PM Modi addresses gathering,???? ???? ?? ???? ?? ???? ???? ?? ??????,,9,9
Your spouse will be influenced by your goodwill in society.,???????? ???? ??? ???? ?????? ?? ???????? ?????,10,8,2
Social media will be strictly monitored.,???? ?????? ?? ??? ????? ???? ???,6,7,1
Apply this paste over your face and neck.,?? ????? ?? ????? ?? ??? ?? ??? ?? ???? ????,8,11,3
Perhaps it is not quite right to say that Tyab Ali 's domestic habits did not change with his changing mental vision.,?????? ?? ???? ??????? ??? ???? ???? ?? ???? ??? ?? ??????? ?????? ??? ???????? ?? ???-??? ???? ????? ????? ??? ????? ???? ????,22,24,2
I have all the records and documents with me.,??? ???? ??? ??? ???????? ?? ?? ??????,9,8,1
"""The Coal Blocks Allocation Rules, 2017 [CBA Rules] have been notified on 13.07.2017 have repealed the Auction by Competitive Bidding of Coal Mines Rules, 2012 [ACBCM Rules].However, the allocations already made under ACBCM Rules, 2012 has been maintained under the CBA Rules.Rule 17 of the CBA Rules states that any action taken under the ACBCM Rules shall be deemed to have been done or taken under the corresponding provisions of these rules andany process of allocationpendingunder the ACBCM Rules, 2012 shall continue and after the final allocation of the coal block the remaining procedure and conditions under the corresponding provisions of CBA Rules shall be applicable.","2017 ?????? ???????? ?? ??? ???????? ???? ???, ????? ????????????? ?????? ?? 13 ??? ??? ???? ?? ???????? ??? ?????? ?????? ?????? ?????, ?????? ???? ?? ‘??????? ??? ??????’ ??????? ??? ???? 30 ?????? ??? ??? ??? ?? ‘???????????’ ?? ???????? ??????? ??? ?????????? ???????? ??? ?? ??? ?????????????? ????? - ?????? ??? ???? ?? (??????) ???? ?? ??????????? ?? ??????? ??? ??????? ????? ?????????? ???? ???????????? ??????? ?? ?????? (??????) ?? ?? ????? ??????? ???? ?? ?? ???? ????? ?? ??? ????????? ?????????? ?? ??- ??????????? ?? ?????? ?? ?????????? ?????? ????? ????????? ?? ???? ?? ?????? ?? ????????? ??? ?? ???????? ?? ??, ????? ?? ?? ??? ????????? ??????? ??? (?????) ‘???? 22’ ???? ????, ?? ???????, ?????? ?? ?????????? ?? ??????? ???????? ?? 22 ?????? ?? ????? ?????? ??",,,0
"Sensex at 36,626.90 , up by 370.21 points.","??? ?? ??? ???????? 370.21 ????????? ?? ???? ?? ??? 36,626.90 ?? ????? ???.",8,14,6
"Nevertheless, in the time it has taken you to read this article, unborn babies have died by the hundreds.",???: “?? ???? ???? ??! ”,19,6,13
An FIR against the unknown driver has been registered at Bilaspur police station.,??????? ?? ????? ?? ????? ??????? ??? ?????? ?? ????? ?????? ???? ?? ?? ???,13,15,2
"When the son of Mary was mentioned as an example, you people cried out in protest, saying,",?? (? ????) ?? ????? ?? ???? (???) ?? ????? ???? ?? ??? ?? ???? ???????? ???? ?? ??? ??????? ?? ????? ???,17,23,6
Hardik Pandya and KL Rahul were suspended by BCCI for passing remarks against women on tv show Koffee With Karan.,??? ?????? ?? ??-?????? ??????? ??????? ?? ???? ????? ?? ?? ???? ????????? ???? ??? ??? ??? ??????? ?? ????? ??????? ???? ?? ????? ??? ???? ????? ???? ?? ??????? ?? ???? ??? ??.,20,34,14
"""The President of India, Shri Pranab Mukherjee will receive visiting Heads of State/Government of the ASEAN-India Special Commemorative Summit tomorrow (December 20, 2012) at Rashtrapati Bhavan.","???? ?? ??????????, ???? ????? ??????? ?? (20 ???????, 2012) ??????-???? ????? ?????? ???? ??????? ?? ???????/????? ?? ????????? ?? ?????????? ??? ??? ????????",26,24,2
"From licensing to offset regime and export regime, we have given what the defence industry was looking for.",???? ????? ?????? ?? ?? ?? ???? ?? ????? ?? ???? ?? ??? ???,18,14,4
Khaleel has played 11 ODIs and 14 T20Is.,???? ?? 11 ???? ?? 14 ??20 ??? ???? ???.,8,10,2
"""The chairman of the committee is Defence Minister Rajnath Singh.",??????????? ?????? ???? ????? ?? ??????? ???,10,7,3
"Loss-making Air India is estimated to have a debt burden of more than Rs 48,000 crore.","???? ??? ?? ??? ??? ?????? ?? 48,000 ????? ????? ?? ???? ???? ???? ?? ?????? ???",16,17,1
Don't talk to me.,????? ??? ?? ???!,,,0
Contraction of the diaphragm results in inflation of lungs.,???????? ?? ?????? ?? ??????? ?? ????????? ????,9,8,1
Sinha and his wife Gauri live in Delhi.,??????? ?? ??? ?? ?????? ??? ?? ???? ????? ?? ???? ????,8,12,4
"""The programme was also organised on the occasion.",?? ????????? ??? ?? ????????? ?? ???? ?? ??.,8,9,1
"Several members including ward Commissioner Dinesh Pandey, Pratik Prakash Moni, Kamla Devi, Shashi Kumar Verma were present in the meeting.","???? ?????? ???? ??????, ?????? ????? ????? ???? ?????, ??? ?????, ?????, ???? ????, ?????, ?????, ???? ????, ????? ?? ????? ???? ?????? ???????? ?? ???? ??? ?????? ?????",20,29,9
"Speaking to ANI, advocate-on-record Ejaz Maqbool clarified: It is wrong to say that Mr Rajeev Dhawan was removed from the case because of his illness.",?? ????? ??? ???????-??-??????? ???? ????? ?? ??? ?? ?? ???? ??? ?? ?? ????? ??? ?? ???? ?????? ?? ???? ??? ?? ??? ???? ??? ??.,25,27,2
"( 2) By means of his Word, he provides counsel and guidance for us.","( ?) ???? ??? ?? ??????, ?? ????? ??? ???? ?? ?????????? ?????? ???? ?? ?",14,16,2
92 new cases reported in Maharashtra,?????????? ??? 92 ?? ????? ?? ?????,6,7,1
"However, he said a decision in this regard would be taken soon.",????? ???????? ??? ?? ?? ???? ?? ???? ?? ????? ??? ??? ????????,12,13,1
I am happy as an actor but prouder as a son.,??? ?????? ???? ?? ???? ??? ??? ?? ??? ?? ???? ?? ??? ??? ???? ?????????? ???,11,17,6
"However, the deceased have not been identified yet.",??????? ??? ???? ?? ????? ?? ????? ???? ?? ??? ???,8,11,3
All's well that end's well.,??? ??? ?? ?? ???.,5,5,0
Shimla: Former Himachal Pradesh Chief Minister and Congress leader Virbhadra Singh was admitted to the Indira Gandhi Medical College and Hospital (IGMCH) here for treatment of chest infection.,?????. ????? ???? ? ???????? ?? ?????? ???? ??????? ???? ?? ???????? ??? ????? ???? ???,28,16,12
"He said, the Ministry of DoNER had offered to financially assist and expeditiously process proposals from North Eastern States related to the health sector, especially for management of COVID and other infectious diseases.Appreciating the role of various State governments of the North Eastern Region, Dr Jitendra Singh assured Mrs Soso Shazia that every care is being taken for comfortable return and sustenance of people coming back from different parts of the country.",?????????? ??????? ?? ??????? ????? ??????? ?? ?????? ?? ?????? ???? ??? ?? ???? ?? ??????? ???? ????? ?? ??????? ???? ?? ??? ?? ??????? ????? ??? ?? ??? ?????????? ?? ????? ?? ????? ?? ???? ????? ?? ??? ?? ??? ?? ????? ??? ?? ??? ???,,47,47
"""She said senior BSP leader Satish Mishra would come for the rally,"""" he said.""",???????? ??? ?? ??? ????? ?????? ??? ???? ?? ?????? ???? ???? ????? ?????? ????? ?????.,14,16,2
"""""""Several valuables, including gold jewellery and cash, are missing from the house.""","?? ?? ?? ??????? ?????? ???? ? ???? ?? ????? ?? ????? ???, ???? ???? ?? ????? ???",12,18,6
PM Modi calls upon international community to unite against terrorism for the sake of humanity,???????????? ????????? ???? ?? ??????????????? ?????? ?? ?????? ?? ??? ??? ??????? ?? ????? ????? ???? ?? ????? ????,15,19,4
Union Cabinet has condoled the sad demise of Minister of State for Railways Suresh C. Angadi.,???????? ?????????? ?? ??? ????? ?????? ????? ?? ????? ?? ???? ?? ??? ?????? ???? ???,16,16,0
It is a very good stock,?? ?? ????? ??????????? ????? (Investment Stock) ??,6,8,2
He also gave his word on it.,???? ??? ???????? ??????? ?? ???,7,6,1
"Last year, this 14-km stretch had turned into a battlefield with Jats from Sisay clashing with non-Jats of Sainipura and the violence spilling over into adjoining dhanis.",14 ???????? ???? ???? ?? ?? ?????? ????? ??? ????? ?? ????? ?? ??? ?? ?? ????? ?? ????? ?? ???????? ?? ??? ????? ?? ???? ?? ???? ?? ?? ????? ?? ??????? ?? ?? ????? ??? ?? ???,27,39,12
"""There is 32 GB internal storage.",??? ?? ????? 32 ???? ?? ???????? ?????? ?? ?? ???,6,11,5
"Also, the age of the candidates should be between 18 years to 27 years in the year of examination.",???? ????? ????????? ?? ???? 18 ???? ?? 39 ???? ?? ??? ??? ???? ??????,19,15,4
Chemical Promotion and Development Scheme (CPDS),???????? ??????? ?? ????? ?????,6,5,1
"However, because of its particular mechanism of collection, VAT becomes quite easily the target of specific frauds like carousel fraud, which can be very expensive in terms of loss of tax incomes for states.","?????, ??????? ???? ?????? ?? ????? ???????? ?? ????, ??? ???? ????? ?? ??????? ???????? ?? ?????? ?? ???? ?? ???? ??????? ????? ?? ??????? ?? ??? ?? ????? ??? ??? ?? ????? ??? ???? ????? ?? ???? ???",34,39,5
Police said arrests will be made soon.,????? ?? ???? ?? ?? ????? ?? ?? ?????? ??? ?????,7,11,4
A short film on outreach support programme of the Textiles Ministry was also screened during the National Conclave on Creating Synergy for MSMEs in Textiles Sector.,?????? ???????? ?? ????? (??????) ??? ?????? ????????? ?? ?? ??? ????? ?? ????????? ??????? ?? ????? ????? ??? ?? ????????? ??????? ?????? ??????? ??? ??????? ?? ??? ???? ???????? ????????? ???? ?? ?????? ???? ????,26,36,10
"So, that is how it is oriented actually.","??, ?? ?? ?? ?? ?????? ??? ???? ?????? ???",8,10,2
